Variable_group,Variable name,Class_1,Class_2,Class_3,Class_4,Class_5,Unit,Territory,Year,Value
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PR,2040,0.06908
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PR,2045,0.1701
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,PR,2050,0.39404
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RJ,2025,0.20806
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RJ,2030,0.09327
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RJ,2035,0.14857
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RJ,2040,1.135
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RJ,2045,9e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RJ,2050,0.02265
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RN,2025,0.08054
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RN,2030,0.00012
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RN,2035,0.00031
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RN,2040,0.0018
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RN,2045,0.00242
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RN,2050,0.17362
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RO,2025,0.06991
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RO,2030,0.0007
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RO,2035,0.00073
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RO,2040,0.12146
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RO,2045,0.17764
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RO,2050,0.23825
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RR,2025,0.0417
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RR,2030,0.0001
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RR,2035,0.00097
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RR,2040,0.009
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RR,2045,0.00173
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RR,2050,0.09602
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RS,2025,0.1478
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RS,2030,0.06862
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RS,2035,0.38363
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RS,2040,0.00011
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RS,2045,0.23037
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,RS,2050,0.89593
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SC,2025,0.21601
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SC,2030,0.00016
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SC,2035,3e-05
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SC,2040,0.00077
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SC,2045,0.0024
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SC,2050,0.08761
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SE,2025,0.05829
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SE,2030,0.00014
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SE,2035,0.00059
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SE,2040,0.00018
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SE,2045,0.00381
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SE,2050,0.18247
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SP,2025,0.56294
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SP,2030,0.9665
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SP,2035,1.24857
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SP,2040,0.42768
Energy supply and use,"Solar, wind and battery average annual capacity additions",Battery storage,NA,Electricity generation (public service),NA,NA,GW,SP,2045,1.71247
